policy_annual_premium,umbrella_limit,capital_gains,capital_loss,incident_severity,incident_hour_of_the_day,number_of_vehicles_involved,bodily_injuries,property_claim,fraud_reported
1406.91,0,53300,0,1,5,1,1,13020,1
1197.22,5000000,0,0,0,8,1,0,780,1
1413.14,5000000,35100,0,0,7,3,2,3850,0
1415.74,6000000,48900,-62400,1,5,1,1,6340,1
1583.91,6000000,66000,-46000,0,20,1,0,650,0
1351.1,0,0,0,1,19,3,0,6410,1
1333.35,0,0,-77000,0,0,3,0,7150,0
1137.03,0,0,0,2,23,3,2,9380,0
1442.99,0,0,0,2,21,1,1,2770,0
1315.68,0,0,-39300,2,14,1,2,4700,0
1253.12,4000000,38400,0,2,22,1,2,15820,0
1137.16,0,0,-51000,1,21,3,1,17680,0
1215.36,3000000,0,0,2,9,1,1,9420,0
936.61,0,52800,-32800,0,5,1,1,1120,0
1301.13,0,41300,-55500,2,12,1,0,8400,1
1131.4,0,55700,0,1,12,4,0,10520,1
1199.44,5000000,63600,0,1,0,3,1,5790,0
708.64,6000000,53500,0,2,9,1,0,7080,0
1374.22,0,45500,-37800,2,19,1,1,13260,0
1475.73,0,57000,-27300,1,8,3,2,6040,0
1187.96,4000000,0,0,0,20,3,1,5240,0
875.15,0,46700,0,2,15,3,1,4730,0
972.18,0,72700,-68200,1,20,3,0,5960,1
1268.79,0,0,-31000,2,15,1,2,16360,1
883.31,0,0,-53500,0,6,1,1,14160,0
1266.92,0,0,0,1,16,3,1,11000,1
1322.1,0,0,-29200,0,4,1,1,820,0
848.07,3000000,31000,-30200,0,5,1,2,520,1
1291.7,0,0,-55600,0,21,1,1,15520,0
1104.5,0,0,0,0,5,1,2,14100,0
954.16,0,53200,0,1,22,4,0,12600,0
1337.28,8000000,27500,0,1,10,3,2,7460,1
1088.34,0,81100,0,2,16,3,2,3310,0
1558.29,0,51400,-64000,1,1,3,1,14020,0
1415.68,0,0,0,2,17,1,0,5400,0
1334.15,6000000,53300,-49200,1,15,1,2,5310,1
988.45,0,0,0,2,3,1,1,6020,1
1222.48,0,0,0,0,16,1,1,820,0
1155.55,0,65700,0,1,4,3,2,6230,0
1262.08,0,48500,0,1,4,1,0,10940,1
1451.62,0,0,-55700,0,19,1,2,4000,0
1737.66,0,0,-24100,1,1,1,1,16180,1
1475.93,0,0,-67400,0,17,3,1,5740,0
538.17,0,49700,-60200,2,23,1,2,5680,0
1081.08,0,36400,-28700,0,14,1,0,11280,0
1454.43,0,0,0,2,17,3,2,0,0
1240.47,0,35300,0,2,11,3,1,14020,0
1273.7,4000000,0,0,1,19,3,2,6280,1
1123.87,8000000,0,0,3,5,1,2,810,0
1245.89,0,0,-40300,2,19,1,0,7660,0
1326.62,7000000,0,0,0,19,3,0,8180,0
1073.83,0,0,0,3,4,1,1,660,0
1530.52,0,0,0,0,8,1,2,430,0
1201.41,0,88400,-46500,1,7,3,1,12820,0
1393.57,0,47600,-39600,0,5,1,0,480,0
1276.57,0,71500,0,0,3,1,1,7890,0
1082.49,0,36100,-55000,1,12,3,2,6270,0
1414.74,0,0,0,0,19,1,1,300,0
1470.06,0,56600,-45800,2,22,1,0,7310,0
870.63,0,94800,-58500,0,12,3,1,5720,0
795.23,0,36900,0,1,15,3,2,0,1
1168.2,0,69100,0,2,23,3,0,3690,0
993.51,0,0,-49500,0,12,1,0,11260,0
1848.81,0,0,-49000,1,20,3,2,5710,1
1641.73,5000000,62400,0,2,16,3,0,6570,1
1362.87,0,35700,0,0,6,3,2,6860,1
1239.22,7000000,43400,-91200,0,12,1,0,13800,1
835.02,0,59600,0,0,17,3,1,3770,0
1061.33,0,43300,-66200,1,8,1,0,6230,0
1279.08,0,0,-51500,0,13,1,0,860,0
1105.49,0,56200,-50000,1,12,2,2,6210,1
1055.53,0,37800,-50300,2,7,1,0,6810,1
895.83,0,0,0,0,10,1,1,0,0
1632.93,0,0,-42900,0,7,3,2,4760,0
1405.99,0,0,0,0,18,3,1,4770,0
1425.54,0,78300,0,2,22,3,2,5690,0
1038.09,0,0,-19700,0,18,3,1,7450,0
1307.11,0,0,0,2,22,3,0,10860,0
1489.24,6000000,0,-45000,0,15,1,2,1240,0
976.67,0,0,0,1,16,1,1,7220,1
1340.43,0,52700,-40600,0,6,3,1,10160,0
1267.81,5000000,0,0,3,10,1,2,1320,0
1234.2,6000000,0,0,0,3,1,2,1500,0
1318.06,0,57300,-80600,3,13,1,0,1180,0
769.95,0,0,-44200,1,16,2,2,11080,1
1514.72,0,35700,0,1,13,3,0,11660,0
873.64,4000000,800,0,0,9,3,2,11400,0
1612.43,0,36400,0,2,2,1,2,11680,0
1318.24,9000000,0,-78600,3,9,1,0,470,0
1226.83,0,0,-56100,1,12,3,2,5640,1
