number_of_vehicles_involved,witnesses,fraud_reported
1,2,Y
1,0,Y
3,3,N
1,2,Y
1,1,N
3,2,Y
3,0,N
3,2,N
1,1,N
1,1,N
1,2,N
3,2,N
1,0,N
1,1,N
1,2,Y
4,0,Y
3,2,N
1,2,N
1,0,N
3,0,N
3,0,N
3,2,N
3,0,Y
1,2,Y
1,3,N
3,3,Y
1,3,N
1,1,Y
1,0,N
1,2,N
4,0,N
3,2,Y
3,3,N
3,2,N
1,1,N
1,0,Y
1,1,Y
1,1,N
3,0,N
1,3,Y
1,2,N
1,1,Y
3,0,N
1,2,N
1,2,N
3,3,N
3,1,N
3,1,Y
1,0,N
1,0,N
3,3,N
1,2,N
1,1,N
3,0,N
1,1,N
1,2,N
3,3,N
1,3,N
1,1,N
3,1,N
3,1,Y
3,3,N
1,3,N
3,2,Y
3,0,Y
3,2,Y
1,1,Y
3,1,N
1,3,N
1,1,N
2,3,Y
1,2,Y
1,2,N
3,0,N
3,0,N
3,0,N
3,1,N
3,2,N
1,2,N
1,2,Y
3,2,N
1,1,N
1,2,N
1,3,N
2,3,Y
3,1,N
3,1,N
1,1,N
1,1,N
3,0,Y
2,1,N
1,3,Y
1,1,N
3,1,N
3,0,N
1,0,N
1,3,Y
4,2,Y
1,2,N
1,0,N
1,0,N
1,0,N
3,3,N
1,1,N
3,0,N
1,3,N
3,2,Y
2,0,N
1,0,Y
3,3,Y
1,2,N
1,0,Y
3,0,N
2,1,N
1,1,N
3,1,Y
1,3,N
3,2,Y
1,3,N
3,1,N
1,0,N
1,1,Y
1,1,Y
4,0,N
1,1,N
3,3,N
1,0,N
1,0,N
1,3,Y
3,2,Y
3,2,N
3,2,N
3,1,N
1,1,N
1,1,N
1,2,Y
1,0,N
3,3,N
3,2,N
3,2,N
1,1,N
1,3,N
1,1,N
1,3,Y
3,3,N
1,1,Y
3,0,Y
1,1,N
1,3,Y
1,0,Y
1,0,N
3,1,N
3,3,Y
3,3,N
3,3,Y
1,3,Y
3,1,N
1,3,N
3,0,N
1,0,N
1,3,N
1,0,N
2,1,N
1,0,Y
3,0,N
3,2,N
1,1,Y
3,0,N
1,1,N
1,0,N
3,0,N
1,1,Y
3,0,N
3,2,N
1,1,N
1,0,N
1,1,N
1,1,N
1,1,N
1,1,N
3,0,N
1,3,N
1,3,N
1,1,Y
1,2,N
1,3,Y
3,1,N
1,3,N
3,0,Y
1,2,N
1,1,N
1,2,N
1,3,N
1,1,N
3,1,N
2,3,N
1,1,Y
1,3,N
1,1,N
1,1,N
1,1,N
1,0,N
1,2,N
3,3,N
3,2,N
1,1,N
1,0,Y
3,3,N
4,3,N
1,1,N
1,0,N
1,2,N
3,3,N
3,0,Y
1,3,Y
3,2,Y
1,2,N
1,1,N
1,3,Y
3,0,N
1,2,Y
1,2,N
1,0,N
3,1,N
3,3,N
1,1,N
2,0,N
1,2,Y
3,3,N
1,3,N
1,2,N
1,3,N
4,1,N
3,0,N
3,2,Y
3,0,N
1,1,N
3,3,Y
1,1,N
1,1,N
1,0,N
1,0,Y
1,1,N
3,2,N
1,2,N
1,3,Y
1,2,N
3,1,Y
1,3,N
1,3,N
2,1,Y
3,2,Y
1,1,N
1,3,Y
3,2,Y
3,1,N
3,0,N
1,1,Y
1,3,N
3,2,Y
1,1,N
1,0,Y
3,1,Y
3,1,N
1,0,N
1,0,N
3,2,Y
3,0,N
3,3,N
3,3,N
3,0,N
1,0,N
4,0,Y
3,0,N
3,2,N
3,1,N
3,2,N
1,0,Y
3,1,Y
3,1,N
3,3,N
1,1,Y
1,0,N
1,2,Y
3,3,N
1,1,N
3,0,N
1,0,N
1,2,Y
1,2,N
1,1,N
3,2,N
3,0,Y
1,2,N
4,2,Y
1,2,N
3,2,N
1,3,N
1,0,N
2,0,N
1,3,N
3,2,N
3,2,N
1,2,N
3,0,N
1,1,Y
1,1,Y
3,2,Y
3,1,N
3,2,N
3,2,Y
3,3,Y
1,0,N
3,2,N
3,0,N
1,1,N
3,3,N
3,1,N
3,0,N
1,1,Y
1,2,N
3,3,N
1,2,N
3,2,N
2,2,Y
3,1,N
3,2,N
3,0,N
3,2,Y
1,0,Y
1,3,N
3,3,Y
1,2,N
1,2,N
1,0,N
1,1,N
3,1,N
1,0,N
1,1,N
3,3,N
3,2,Y
1,3,N
1,2,Y
1,3,N
1,3,Y
1,2,N
1,0,N
1,2,N
3,0,N
1,3,Y
1,3,N
3,0,Y
1,3,N
1,2,N
3,0,N
1,0,N
3,1,N
3,2,N
1,3,Y
1,0,N
3,1,Y
3,1,Y
1,2,N
3,2,Y
1,2,Y
1,0,Y
1,0,N
1,0,N
1,2,Y
4,1,N
3,1,N
2,2,N
1,3,N
1,2,Y
4,0,N
3,0,N
1,0,N
1,2,N
3,0,N
3,2,Y
3,3,N
1,3,N
3,2,Y
1,1,Y
1,2,N
3,0,N
1,1,N
1,2,N
3,1,N
1,2,N
1,2,N
3,0,N
3,1,N
3,2,N
4,2,Y
1,0,N
1,0,N
1,2,N
1,1,N
1,0,N
2,3,N
1,0,N
3,0,Y
1,2,N
1,3,Y
3,3,N
3,3,N
3,0,N
1,3,N
1,3,N
1,3,N
1,0,N
3,2,N
3,2,N
1,2,N
1,3,N
1,2,N
1,2,N
1,3,N
1,0,N
1,2,N
1,0,N
1,0,N
1,0,N
3,3,Y
4,0,Y
1,2,N
1,0,N
3,0,Y
1,3,N
4,2,N
3,0,N
1,0,Y
1,3,N
1,3,N
1,0,N
1,2,N
1,2,Y
1,1,N
1,1,N
1,2,N
3,3,N
1,0,Y
1,1,N
1,0,N
1,1,Y
1,3,N
1,2,N
1,0,N
4,3,N
1,1,N
1,0,N
1,0,N
3,1,N
1,3,N
3,0,N
1,1,N
1,1,Y
1,2,N
1,3,N
1,2,Y
1,2,N
3,1,Y
3,0,N
3,2,N
1,1,N
3,1,N
3,0,N
3,2,N
3,2,N
1,3,Y
3,2,N
3,0,N
1,0,N
1,2,Y
3,1,N
1,3,Y
1,1,Y
1,2,Y
1,1,Y
3,2,N
1,0,N
3,3,Y
2,0,N
1,0,N
1,1,N
1,0,N
3,0,N
1,3,N
3,2,Y
1,1,N
3,3,N
3,2,N
1,2,N
3,3,Y
1,3,N
1,2,N
4,1,N
1,0,Y
1,1,N
1,3,N
1,2,N
1,1,N
1,0,N
2,0,Y
1,1,N
3,1,N
1,2,N
3,1,N
3,0,N
1,0,N
1,3,N
1,1,N
3,2,Y
1,0,N
1,3,N
1,2,N
3,0,Y
3,0,N
1,1,N
1,2,N
1,3,N
4,2,N
3,1,N
1,2,N
1,1,N
3,0,N
1,1,N
1,1,N
1,3,Y
1,3,N
1,0,N
3,3,N
1,3,N
3,2,N
1,0,Y
3,3,N
3,1,N
1,3,Y
1,2,N
1,2,N
1,2,N
3,3,N
3,0,N
1,1,Y
1,3,N
1,2,N
3,1,Y
1,2,N
3,1,N
3,3,N
1,1,N
1,2,Y
1,2,N
3,2,N
1,1,Y
1,3,N
1,2,N
3,1,Y
3,0,N
3,1,N
1,0,Y
1,3,N
1,0,N
4,3,N
1,2,N
1,0,N
3,2,Y
3,1,N
1,3,N
3,1,N
3,2,N
3,3,N
1,2,Y
1,0,Y
1,2,N
1,2,N
3,1,Y
2,3,N
1,3,Y
1,0,N
4,0,N
2,1,N
3,1,N
1,2,N
1,3,N
1,3,N
2,2,Y
1,3,N
2,3,N
3,1,N
1,1,Y
1,0,N
1,1,Y
3,1,N
1,2,N
1,0,N
1,1,Y
3,3,N
3,3,N
1,2,Y
1,0,N
1,1,Y
1,3,N
2,1,N
1,0,N
1,3,N
1,0,N
4,1,N
1,0,N
3,0,N
3,1,N
1,2,N
3,2,N
1,1,N
3,0,N
2,2,Y
2,2,N
1,0,N
3,3,N
1,0,Y
1,1,N
1,0,N
1,1,Y
1,0,N
1,1,N
4,2,N
1,2,N
1,3,Y
2,2,Y
3,1,N
2,2,N
1,2,N
1,2,Y
1,3,N
1,2,Y
1,1,N
1,2,N
3,0,Y
2,1,N
1,3,N
3,3,N
1,0,N
1,1,Y
1,2,N
3,1,N
3,3,N
1,2,N
1,2,N
3,2,Y
3,2,Y
3,1,N
3,1,Y
3,3,N
1,3,N
1,1,N
1,3,N
3,3,Y
1,0,N
1,3,N
3,0,N
1,3,N
3,0,N
3,1,N
1,1,N
1,1,Y
3,2,Y
1,1,N
1,2,N
3,3,N
3,3,N
1,3,N
3,0,N
1,1,N
1,1,N
1,2,N
3,0,N
1,2,N
3,2,N
3,2,N
1,2,N
1,0,N
1,3,N
4,0,Y
1,3,Y
1,0,N
1,1,N
3,2,N
3,3,N
1,3,N
1,2,N
1,2,Y
1,1,N
3,0,N
3,0,N
1,1,N
1,1,N
1,3,N
1,0,N
3,2,Y
2,1,Y
4,1,Y
1,3,N
3,1,Y
3,3,Y
1,0,Y
1,3,N
1,2,Y
3,3,Y
1,2,Y
1,0,Y
1,1,N
3,3,Y
1,1,Y
1,2,N
3,3,Y
1,2,N
3,3,N
1,0,N
1,0,N
1,0,N
1,3,N
1,1,Y
1,3,N
3,0,N
3,0,N
1,3,N
1,1,Y
1,3,Y
1,0,Y
1,0,N
1,2,N
1,3,N
1,1,N
1,1,N
3,1,N
3,1,N
3,3,N
1,0,N
1,3,N
3,3,N
1,2,N
3,1,Y
3,2,Y
4,2,Y
3,3,Y
3,3,N
3,1,N
3,3,N
1,1,N
1,1,N
1,0,N
4,2,N
3,1,N
3,0,N
3,0,N
1,3,N
1,3,N
1,2,N
1,3,N
3,1,N
3,3,Y
3,1,Y
3,2,Y
3,3,N
1,0,N
3,1,N
3,0,N
1,0,N
3,1,N
3,0,N
1,1,N
1,3,N
3,1,N
4,0,N
1,2,N
1,1,N
3,0,N
3,2,N
3,1,N
1,2,N
1,3,N
1,1,N
1,1,N
3,0,Y
3,1,Y
4,0,N
3,2,N
1,1,Y
1,0,N
1,1,N
1,2,Y
3,3,N
1,1,N
3,0,N
3,3,N
1,3,Y
1,1,N
1,0,N
1,1,N
1,3,N
3,0,N
1,2,N
1,0,Y
1,3,N
1,1,N
1,1,N
3,3,N
1,2,N
1,3,Y
3,2,N
1,3,N
1,0,Y
1,2,N
3,1,N
1,1,N
4,0,N
1,1,Y
1,0,N
1,3,N
1,0,N
3,0,N
1,3,N
1,2,Y
1,1,N
1,1,N
1,1,N
3,1,N
3,2,N
3,3,Y
1,0,N
3,0,Y
1,3,N
4,1,N
1,1,N
1,2,N
1,1,N
1,3,Y
3,1,Y
1,2,N
1,3,N
3,0,N
1,1,N
3,2,Y
3,3,N
3,1,Y
1,3,N
3,3,N
1,2,Y
1,3,N
3,0,N
1,2,Y
3,3,N
1,3,N
3,2,N
3,3,N
3,1,N
1,1,N
3,3,N
3,3,N
3,2,N
3,2,N
1,0,N
3,2,N
1,1,N
1,3,Y
1,0,N
2,3,N
3,2,Y
3,3,Y
1,0,N
1,0,N
3,0,Y
1,2,N
1,0,N
1,2,Y
1,2,N
3,3,N
3,3,Y
1,1,N
1,1,Y
1,3,Y
1,0,N
3,3,Y
1,2,N
3,0,N
1,0,N
1,0,N
1,2,N
3,0,N
1,0,N
2,3,N
1,1,N
1,0,N
1,3,N
3,3,Y
1,3,N
3,0,N
1,1,N
1,3,N
1,3,N
1,0,N
3,1,N
1,3,N
3,1,N
3,2,Y
3,0,N
3,2,N
1,0,N
3,2,N
1,2,N
2,1,N
3,1,Y
1,1,N
4,2,N
1,0,Y
1,1,N
1,3,N
3,1,N
3,0,Y
1,0,N
3,3,N
1,3,N
1,0,N
3,1,N
1,3,N
1,3,Y
1,3,Y
1,3,N
1,0,Y
4,2,Y
3,1,N
3,1,N
3,3,N
3,3,N
4,3,Y
1,0,N
1,2,N
1,0,Y
3,0,Y
1,1,N
3,0,N
1,3,N
3,0,N
1,3,N
3,2,N
